,HGNC,name
590,HGNC:55822,lnc-C9orf66-15
591,HGNC:40672,DOCK9-AS1
592,HGNC:43696,DOCK9-DT
593,HGNC:56040,lnc-SMG6-2
594,HGNC:53720,lnc-SLC30A7-2
595,HGNC:44147,DPH6-DT
596,HGNC:55494,lnc-MRPL11-1
597,HGNC:40941,DPP10-AS1
598,HGNC:40940,DPP10-AS2
599,HGNC:40939,DPP10-AS3
600,HGNC:55307,lnc-ANKRD27-2
601,HGNC:40195,DPYD-AS1
602,HGNC:40196,DPYD-AS2
603,HGNC:41326,DPYD-IT1
604,HGNC:27082,lnc-RPLP1-12
605,HGNC:40197,DSCAM-AS1
606,HGNC:41327,DSCAM-IT1
607,HGNC:3045,DSCR4
608,HGNC:41328,DSCR4-IT1
609,HGNC:16707,DSCR8
610,HGNC:16301,DSCR9
611,HGNC:16302,DSCR10
612,HGNC:55325,lnc-CCDC102B-7
613,HGNC:51115,DSG1-AS1
614,HGNC:51311,DSG2-AS1
615,HGNC:56039,lnc-CAGE1-1
616,HGNC:40098,lnc-BEND6-1
617,HGNC:40762,lnc-RBBP9-4
618,HGNC:48569,DUBR
619,HGNC:55154,lnc-SMNDC1-2
620,HGNC:55420,lnc-FBN1-3
621,HGNC:37046,lnc-CTIF-1
622,HGNC:52990,lnc-CA7-4
623,HGNC:52833,lnc-SRSF1-1
624,HGNC:55405,lnc-CDYL2-6
625,HGNC:40199,lnc-EIF2D-1
626,HGNC:41329,E2F3-IT1
627,HGNC:55393,lnc-C8orf59-8
628,HGNC:42328,EAF1-AS1
629,HGNC:56088,lnc-DNASE1L2-1
630,HGNC:54425,lnc-C6orf201-2
631,HGNC:40204,lnc-VCAN-1
632,HGNC:49045,EDNRB-AS1
633,HGNC:49501,EDRF1-AS1
634,HGNC:54128,EDRF1-AS1
635,HGNC:40206,lnc-MTO1-1
636,HGNC:55371,lnc-PNPLA3-1
637,HGNC:56350,lnc-RINT1-3
638,HGNC:55338,lnc-CDC27-2
639,HGNC:55801,lnc-CASP9-1
640,HGNC:41169,EGFLAM-AS1
641,HGNC:41168,EGFLAM-AS2
642,HGNC:41167,EGFLAM-AS3
643,HGNC:41166,EGFLAM-AS4
644,HGNC:40207,EGFR-AS1
645,HGNC:54482,lnc-RNASE1-2
646,HGNC:49077,EGLN3-AS1
647,HGNC:37129,EGOT
648,HGNC:55766,lnc-WDPCP-1
649,HGNC:51418,EHD4-AS1
650,HGNC:44133,EHHADH-AS1
651,HGNC:40208,EIF1AX-AS1
652,HGNC:54066,lnc-RPIA-2
653,HGNC:55202,lnc-ABCC5-3
654,HGNC:48616,EIF3J-DT
655,HGNC:56080,lnc-CKB-2
656,HGNC:41392,EIPR1-IT1
657,HGNC:40210,lnc-AGBL4-1
658,HGNC:49511,ELDR
659,HGNC:40211,ELF3-AS1
660,HGNC:39071,ELFN1-AS1
